ID,Date,Primary Type,Location Description,Arrest,Latitude,Longitude
8627594,05/13/2012 09:55:00 PM,NARCOTICS,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,False,41.976762981,-87.900983721
8627624,05/16/2012 12:49:00 PM,NARCOTICS,VEHICLE NON-COMMERCIAL,False,41.905239352,-87.640840084
8627686,05/15/2012 12:34:00 PM,NARCOTICS,SIDEWALK,False,41.810364089,-87.619619528
8628989,05/15/2012 11:22:00 PM,NARCOTICS,APARTMENT,False,41.807056856,-87.607731858
8629032,05/11/2012 10:30:00 AM,NARCOTICS,SIDEWALK,False,41.78024763,-87.615102958
8629110,05/15/2012 11:58:00 AM,NARCOTICS,APARTMENT,False,41.770221783,-87.620236971
8629239,05/15/2012 11:58:21 AM,NARCOTICS,APARTMENT,False,41.770221783,-87.620236971
8631100,05/26/2012 05:13:00 PM,NARCOTICS,APARTMENT,False,41.809601397,-87.696693939
8631207,05/26/2012 10:39:00 PM,NARCOTICS,SIDEWALK,False,41.763506317,-87.636307274
8633368,05/28/2012 06:38:00 PM,NARCOTICS,RESIDENCE,False,41.810492397,-87.74812678
8647688,05/25/2012 04:04:00 PM,NARCOTICS,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,False,41.976495786,-87.905108161
8655418,05/23/2012 03:02:00 PM,NARCOTICS,APARTMENT,False,41.839974557,-87.728081682
8655451,05/31/2012 05:35:00 AM,NARCOTICS,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,False,41.979006297,-87.906463155
8655710,05/10/2012 08:26:00 PM,NARCOTICS,RESIDENCE,False,41.765078841,-87.601882023
8657025,05/12/2012 09:40:00 AM,NARCOTICS,VEHICLE NON-COMMERCIAL,False,41.861606017,-87.722602449
8657429,05/29/2012 03:30:00 PM,NARCOTICS,VEHICLE NON-COMMERCIAL,False,41.781296636,-87.615652218
8657454,05/24/2012 12:50:00 PM,NARCOTICS,VEHICLE NON-COMMERCIAL,False,41.758896562,-87.574474493
8657479,05/24/2012 12:00:00 PM,NARCOTICS,SIDEWALK,False,41.781238369,-87.60595147
8665323,06/07/2012 01:30:00 PM,NARCOTICS,RESIDENCE,False,41.78625575,-87.781586216
8677802,06/25/2012 09:45:00 PM,NARCOTICS,ALLEY,False,41.858768633,-87.662151835
8693904,07/06/2012 05:30:00 PM,NARCOTICS,POLICE FACILITY/VEH PARKING LOT,False,41.836402129,-87.646239389
8697209,06/25/2012 03:00:00 PM,NARCOTICS,RESIDENCE,False,41.836242733,-87.725555473
8700864,07/04/2012 09:34:00 AM,NARCOTICS,VEHICLE NON-COMMERCIAL,False,41.802311505,-87.653869321
8701713,07/11/2012 07:30:00 PM,NARCOTICS,ALLEY,False,41.768226797,-87.689988045
8706191,07/14/2012 12:43:00 PM,NARCOTICS,OTHER,False,41.772496297,-87.60701439
8707225,06/26/2012 07:30:00 PM,NARCOTICS,AIRPORT EXTERIOR - NON-SECURE AREA,False,41.976762981,-87.900983721
8707595,07/15/2012 03:50:00 PM,NARCOTICS,SIDEWALK,False,41.778297041,-87.723972807
8710022,06/04/2012 10:39:00 AM,NARCOTICS,VEHICLE NON-COMMERCIAL,False,41.764437113,-87.630978582
8711337,07/17/2012 11:02:00 PM,NARCOTICS,VACANT LOT/LAND,False,41.772553923,-87.60701374
8713940,07/14/2012 08:36:00 AM,NARCOTICS,VEHICLE NON-COMMERCIAL,False,41.859896461,-87.710361454
8713988,07/13/2012 10:55:00 AM,NARCOTICS,VEHICLE NON-COMMERCIAL,False,41.781617685,-87.610830908
8717360,07/21/2012 06:21:00 PM,NARCOTICS,PARK PROPERTY,False,41.900870422,-87.624184899
8717684,07/21/2012 11:15:00 PM,NARCOTICS,RESIDENCE PORCH/HALLWAY,False,41.812852725,-87.693121883
8718202,07/22/2012 12:02:00 PM,NARCOTICS,RESIDENCE,False,41.803722875,-87.662411211
8719687,07/23/2012 12:15:00 PM,NARCOTICS,RESIDENCE,False,41.807890998,-87.65765439
8721210,07/24/2012 10:50:00 AM,NARCOTICS,SIDEWALK,False,41.899297057,-87.694635718
8721692,07/24/2012 03:00:00 PM,NARCOTICS,SIDEWALK,False,41.853898352,-87.650181573
8722157,07/24/2012 09:00:00 PM,NARCOTICS,SIDEWALK,False,41.865771788,-87.719511974
8722245,07/24/2012 07:30:00 PM,NARCOTICS,CHA APARTMENT,False,41.897358891,-87.641913286
8722716,07/03/2012 10:36:00 AM,NARCOTICS,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,False,41.976290414,-87.905227221
8723614,07/25/2012 02:27:00 PM,NARCOTICS,RESIDENCE,False,41.800456672,-87.662324255
8724055,07/25/2012 04:00:00 AM,NARCOTICS,OTHER,False,41.829929212,-87.724198877
8726293,07/21/2012 11:00:00 AM,NARCOTICS,SIDEWALK,False,41.780390363,-87.699520105
8733014,07/31/2012 12:12:00 PM,NARCOTICS,APARTMENT,False,41.836227249,-87.648663182
8733215,07/31/2012 01:37:00 PM,NARCOTICS,PARK PROPERTY,False,41.877546613,-87.627663112
8733616,07/31/2012 08:35:00 PM,NARCOTICS,CTA TRAIN,False,41.868165405,-87.62743954
8734588,07/25/2012 09:15:00 PM,NARCOTICS,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,False,41.974861952,-87.890372151
8734970,06/06/2012 10:57:00 AM,NARCOTICS,STREET,False,41.856112098,-87.713907391
8735147,08/01/2012 12:45:00 PM,NARCOTICS,SIDEWALK,False,41.76811932,-87.620183276
8735151,08/01/2012 12:55:00 PM,NARCOTICS,STREET,False,41.76835544,-87.619759104
8738269,07/27/2012 12:05:00 PM,NARCOTICS,TAVERN/LIQUOR STORE,False,41.885700524,-87.735637794
8745374,06/08/2012 02:08:17 PM,NARCOTICS,SMALL RETAIL STORE,False,41.759557851,-87.605423002
8745381,07/18/2012 01:35:10 PM,NARCOTICS,RESIDENCE,False,41.833794241,-87.653477733
8745384,07/19/2012 06:55:00 PM,NARCOTICS,APARTMENT,False,41.803989246,-87.612167754
8745403,06/06/2012 01:15:00 PM,NARCOTICS,GAS STATION,False,41.77999793,-87.629294594
8745426,07/18/2012 12:04:00 PM,NARCOTICS,RESIDENCE,False,41.866937617,-87.624141504
8745433,07/18/2012 03:23:00 PM,NARCOTICS,RESIDENCE PORCH/HALLWAY,False,41.86566201,-87.728823362
8745538,08/02/2012 01:37:39 PM,NARCOTICS,APARTMENT,False,41.782379646,-87.688610976
8745932,01/29/2012 06:00:00 AM,NARCOTICS,SIDEWALK,False,41.81611063,-87.621393611
8758191,08/16/2012 12:13:00 PM,NARCOTICS,CTA PLATFORM,False,41.721627204,-87.624485177
8765388,08/16/2012 01:07:00 PM,NARCOTICS,VEHICLE NON-COMMERCIAL,False,41.817101454,-87.631225183
8767333,08/17/2012 11:26:00 AM,NARCOTICS,RESIDENCE PORCH/HALLWAY,False,41.778565718,-87.692157822
8773852,08/02/2012 01:40:00 AM,NARCOTICS,RESIDENCE,False,41.791236289,-87.698613862
8773868,08/22/2012 11:05:49 PM,NARCOTICS,SIDEWALK,False,41.924688878,-87.710014485
8776159,08/28/2012 10:33:00 AM,NARCOTICS,SIDEWALK,False,41.816042967,-87.619776585
8777249,08/28/2012 10:00:00 PM,NARCOTICS,ALLEY,False,41.771912269,-87.687520718
8779549,08/22/2012 11:10:00 AM,NARCOTICS,VEHICLE NON-COMMERCIAL,False,41.772954271,-87.690798644
8779685,08/12/2012 04:00:00 PM,NARCOTICS,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,False,41.976762981,-87.900983721
8785526,09/03/2012 07:10:00 PM,NARCOTICS,STREET,False,41.788363519,-87.685430532
8785695,09/03/2012 07:52:00 PM,NARCOTICS,APARTMENT,False,41.863672364,-87.695823746
8785775,09/03/2012 10:37:00 PM,NARCOTICS,RESIDENCE,False,41.798906664,-87.648921225
8790909,08/22/2012 07:55:39 PM,NARCOTICS,RESIDENCE,False,41.769285935,-87.57149277
8791114,09/06/2012 09:25:00 AM,NARCOTICS,SIDEWALK,False,41.794018389,-87.665116121
8791777,08/25/2012 10:13:00 AM,NARCOTICS,VEHICLE NON-COMMERCIAL,False,41.773016041,-87.588748333
8794668,08/23/2012 08:07:00 AM,NARCOTICS,SIDEWALK,False,41.78333868,-87.615699111
8794753,08/25/2012 09:15:00 AM,NARCOTICS,SIDEWALK,False,41.85098667,-87.722263023
8795214,08/23/2012 05:00:00 PM,NARCOTICS,SIDEWALK,False,41.863721482,-87.719447149
8795543,08/23/2012 06:20:00 PM,NARCOTICS,VEHICLE NON-COMMERCIAL,False,41.860303214,-87.714024796
8795565,08/24/2012 09:24:00 AM,NARCOTICS,VEHICLE NON-COMMERCIAL,False,41.764277154,-87.562784226
8796169,09/10/2012 08:46:00 PM,NARCOTICS,APARTMENT,False,41.828639702,-87.648722024
8797783,09/11/2012 09:07:00 PM,NARCOTICS,RESIDENCE,False,41.799727733,-87.648549406
8798280,08/23/2012 06:12:00 PM,NARCOTICS,ALLEY,False,41.865354845,-87.695869443
8798350,09/12/2012 07:55:00 AM,NARCOTICS,STREET,False,41.865622859,-87.71783563
8798615,08/24/2012 12:17:00 PM,NARCOTICS,SIDEWALK,False,41.774069965,-87.644639452
8798970,08/28/2012 05:14:00 PM,NARCOTICS,APARTMENT,False,41.841946207,-87.715945051
8799014,08/24/2012 09:40:00 AM,NARCOTICS,VEHICLE NON-COMMERCIAL,False,41.765651252,-87.624909847
8799984,09/05/2012 01:48:00 PM,NARCOTICS,VEHICLE NON-COMMERCIAL,False,41.773635801,-87.692441548
8800042,09/06/2012 08:45:00 AM,NARCOTICS,ALLEY,False,41.779202212,-87.687715222
8800398,09/06/2012 07:50:00 AM,NARCOTICS,STREET,False,41.778730518,-87.684849239
8800622,08/24/2012 01:04:00 PM,NARCOTICS,OTHER,False,41.761413172,-87.590869084
8800755,08/23/2012 08:40:00 AM,NARCOTICS,PARKING LOT/GARAGE(NON.RESID.),False,41.770969165,-87.586268228
8801750,09/06/2012 07:30:00 PM,NARCOTICS,APARTMENT,False,41.782845044,-87.687920671
8801856,08/25/2012 08:36:00 AM,NARCOTICS,SIDEWALK,False,41.766102071,-87.573491521
8801947,08/25/2012 10:05:00 AM,NARCOTICS,SIDEWALK,False,41.859896461,-87.710361454
8801954,08/25/2012 11:45:00 AM,NARCOTICS,VEHICLE NON-COMMERCIAL,False,41.781034413,-87.687051551
8802202,08/25/2012 10:04:00 AM,NARCOTICS,VEHICLE NON-COMMERCIAL,False,41.860670496,-87.726796272
8802274,09/06/2012 08:02:00 AM,NARCOTICS,SIDEWALK,False,41.77864177,-87.679841971
8805279,09/07/2012 12:31:56 AM,NARCOTICS,RESIDENCE,False,41.84725062,-87.695311491
8421461,01/01/2012 12:40:00 AM,ROBBERY,CTA TRAIN,False,41.871530533,-87.744926805
8421481,01/01/2012 12:30:00 AM,ROBBERY,APARTMENT,False,41.783462633,-87.609647895
8421615,01/01/2012 02:55:00 AM,ROBBERY,STREET,False,41.911743059,-87.723057913
8421667,01/01/2012 03:30:00 AM,ROBBERY,CTA GARAGE / OTHER PROPERTY,False,41.88233367,-87.627841791
8421703,01/01/2012 05:00:00 AM,ROBBERY,STREET,False,41.686867374,-87.620901922
8421722,01/01/2012 05:35:00 AM,ROBBERY,SIDEWALK,False,41.87802884,-87.774580852
8421749,01/01/2012 02:10:00 AM,ROBBERY,SIDEWALK,True,41.95466505,-87.727644798
8421750,01/01/2012 05:00:00 AM,ROBBERY,CTA TRAIN,False,41.87854842,-87.627688811
8421751,01/01/2012 01:00:00 AM,ROBBERY,CTA PLATFORM,True,41.750940757,-87.625185222
8421752,01/01/2012 03:30:00 AM,ROBBERY,SIDEWALK,True,41.957832545,-87.729335433
8421760,01/01/2012 06:25:00 AM,ROBBERY,SIDEWALK,False,41.947993862,-87.761905694
8421803,01/01/2012 04:00:00 AM,ROBBERY,SIDEWALK,False,41.89626385,-87.620357163
8421865,01/01/2012 10:05:00 AM,ROBBERY,SIDEWALK,False,41.77718121,-87.665422917
8421889,01/01/2012 11:05:00 AM,ROBBERY,APARTMENT,True,41.780668521,-87.660602063
